player,category,score,confidence,source,note
"Ladd McConkey","environment","+0.8","0.70","https://www.chargers.com/news/2026-training-camp-preview-ladd-mcconkey","Fact: Chargers.com says Mike McDaniel wants Herbert passes out in 2.4 seconds or less and McConkey could benefit; inference: improved scheme environment."
"Ladd McConkey","risk","-0.5","0.68","https://www.chargers.com/news/2026-training-camp-preview-ladd-mcconkey","Fact: Chargers.com notes a hamstring-limited offseason and a hit-or-miss second season; inference: mild availability and bounce-back risk."
"Saquon Barkley","opportunity","+1.2","0.82","https://fantasy.espn.com/football/players/projections","Fact: ESPN 2026 projection outlook calls Barkley a clear feature back in Philadelphia after 317 touches in 2025; inference: strong workload remains."
"Saquon Barkley","defensiveAttention","+0.2","0.62","https://fantasy.espn.com/football/players/projections","Fact: ESPN outlook keeps Barkley in a good Eagles offense; inference: surrounding offense helps, but feature-back status still draws defensive attention."
"Saquon Barkley","skillFit","+0.8","0.72","https://fantasy.espn.com/football/players/projections","Fact: ESPN notes Barkley remains worthy of mid- to back-end RB1 consideration; inference: skill profile is still positive despite the 2025 dip."
"Saquon Barkley","environment","+0.7","0.72","https://fantasy.espn.com/football/players/projections","Fact: ESPN cites a healthier Eagles line and new playcaller Sean Mannion; inference: offensive environment supports rebound value."
"Saquon Barkley","risk","-1.0","0.84","https://fantasy.espn.com/football/players/projections","Fact: ESPN notes Barkley is entering age 29 after falling from 2283 yards and 15 TD to 1413 yards and 9 TD; inference: workload and age risk are material."
"Garrett Wilson","opportunity","+1.4","0.82","https://fantasy.espn.com/football/players/projections","Fact: ESPN outlook says Wilson had a 33% target share before his injury-shortened 2025; inference: alpha volume remains the core case."
"Garrett Wilson","defensiveAttention","-0.6","0.70","https://fantasy.espn.com/football/players/projections","Fact: ESPN frames Wilson as New York's top raw WR talent opposite rookie Omar Cooper Jr.; inference: he likely carries No. 1 coverage attention."
"Garrett Wilson","skillFit","+1.1","0.76","https://fantasy.espn.com/football/players/projections","Fact: ESPN calls Wilson one of the best raw talents at the position; inference: talent supports bounce-back WR2 pricing."
"Garrett Wilson","environment","+0.4","0.68","https://fantasy.espn.com/football/players/projections","Fact: ESPN says Geno Smith should upgrade last year's Justin Fields/Tyrod Taylor quarterback environment; inference: modest environment lift."
"Garrett Wilson","risk","-1.0","0.82","https://fantasy.espn.com/football/players/projections","Fact: ESPN says Wilson was limited to seven games in 2025 after playing all 51 games in his first three seasons; inference: recent availability risk matters."
"Derrick Henry","opportunity","+1.3","0.84","https://fantasy.espn.com/football/players/projections","Fact: ESPN 2026 outlook says Henry remains a featured rusher and led the league with 24 carries inside the 5 in 2025; inference: touchdown role is elite."
"Derrick Henry","defensiveAttention","+0.3","0.66","https://fantasy.espn.com/football/players/projections","Fact: ESPN keeps Henry in a terrific Baltimore offense; inference: team gravity helps, though defenses still key on his rushing role."
"Derrick Henry","skillFit","+1.2","0.80","https://fantasy.espn.com/football/players/projections","Fact: ESPN notes Henry's 5.20 YPC ranked fifth among qualified backs in 2025; inference: rushing efficiency remains a strength."
"Derrick Henry","environment","+1.0","0.78","https://fantasy.espn.com/football/players/projections","Fact: ESPN describes Baltimore as a terrific offense and projects another top-eight fantasy campaign; inference: scoring context is strong."
"Derrick Henry","risk","-1.1","0.84","https://fantasy.espn.com/football/players/projections","Fact: ESPN notes Henry is entering his age-32 season and remains a nonfactor as a receiver; inference: age and game-script risk trim upside."
"Nico Collins","opportunity","+0.7","0.76","https://fantasy.espn.com/football/players/projections","Fact: ESPN says Collins has cleared 1000 yards and scored seven or eight TD in each of the past three seasons; inference: strong but not monopolistic role."
"Nico Collins","defensiveAttention","-0.2","0.66","https://fantasy.espn.com/football/players/projections","Fact: ESPN calls Collins a back-end WR1 but notes his target share has never cleared 24.4%; inference: alpha attention exists with some target competition offset."
"Nico Collins","skillFit","+1.4","0.84","https://fantasy.espn.com/football/players/projections","Fact: ESPN says Collins finished top 12 in yards per route run in all three recent seasons; inference: elite efficiency supports the price."
"Nico Collins","environment","+0.5","0.70","https://fantasy.espn.com/football/players/projections","Fact: ESPN references Houston's deep group of pass catchers around C.J. Stroud; inference: environment is useful but target competition caps ceiling."
"Nico Collins","risk","-0.8","0.82","https://fantasy.espn.com/football/players/projections","Fact: ESPN says Collins has yet to play a full 17-game season; inference: availability risk should remain in the model."
"A.J. Brown","opportunity","+1.2","0.82","https://fantasy.espn.com/football/players/projections","Fact: ESPN says Brown was traded to New England and is set to work as Drake Maye's top target; inference: target role remains strong."
"A.J. Brown","defensiveAttention","-0.2","0.66","https://fantasy.espn.com/football/players/projections","Fact: ESPN frames Brown as the Patriots' top target after years of elite target share; inference: No. 1 defensive attention is likely."
"A.J. Brown","skillFit","+1.5","0.86","https://fantasy.espn.com/football/players/projections","Fact: ESPN says Brown has finished 80th percentile or better in yards per route run all seven years; inference: skill-fit signal is elite."
"A.J. Brown","environment","+0.8","0.76","https://fantasy.espn.com/football/players/projections","Fact: ESPN describes New England as a good Patriots offense led by Drake Maye; inference: new environment is positive enough for fringe WR1 value."
"A.J. Brown","risk","-0.5","0.70","https://fantasy.espn.com/football/players/projections","Fact: ESPN notes Brown is 29 and had a career-low four end-zone targets last season; inference: age and touchdown-context risk modestly reduce value."
